Subject,Start Date,Start Time,End Date,End Time,All Day
편입 원서 접수,12. 24 (화)  ~ 01. 03 (금) ,0,0,True
성탄절,12. 25 (수),0,0,True
성적공고/이의신청 및 정정,12. 26 (목)  ~ 12. 30 (월) ,0,0,True
정시 원서 접수,12. 26 (목)  ~ 12. 31 (화) ,0,0,True
편입 원서 접수,12. 24 (화)  ~ 01. 03 (금) ,0,0,True
신정,01. 01 (수),0,0,True
2019-전기 졸업일,01. 13 (월),0,0,True
편입 면접고사,01. 16 (목),0,0,True
복학,전과,유급신청,2020-1 휴학신청(1차),01. 20 (월)  ~ 01. 22 (수) ,0,0,True
정시 실기고사,01. 20 (월),0,0,True
편입 합격자 발표,01. 23 (목),0,0,True
설 연휴,01. 24 (금)  ~ 01. 26 (일) ,0,0,True
정시 합격자 발표,01. 29 (수),0,0,True
편입 등록금 납부,01. 30 (목)  ~ 02. 03 (월) ,0,0,True
편입 등록금 납부,01. 30 (목)  ~ 02. 03 (월) ,0,0,True
정시 등록금 납부,02. 05 (수)  ~ 02. 07 (금) ,0,0,True
2020-1 수강신청,02. 07 (금)  ~ 02. 11 (화) ,0,0,True
2019-전기 졸업식,02. 13 (목),0,0,True
신입생 입학식 및 오리엔테이션,02. 18 (화)  ~ 02. 20 (목) ,0,0,True
2020-1 등록기간,02. 24 (월)  ~ 02. 28 (금) ,0,0,True
2020-1휴학신청(2차),02. 24 (월)  ~ 02. 28 (금) ,0,0,True
